diag_type,time_point,feature_type,rank,feature
oral_pharynx_cancer,2,blood,4,blood_White blood cell (leukocyte) count
oral_pharynx_cancer,2,blood,5,blood_Albumin
oral_pharynx_cancer,2,blood,6,blood_Alkaline phosphatase
oral_pharynx_cancer,2,blood,7,blood_Apolipoprotein A
oral_pharynx_cancer,2,blood,8,blood_Apolipoprotein B
oral_pharynx_cancer,2,blood,9,blood_C-reactive protein
oral_pharynx_cancer,2,blood,10,blood_Calcium
oral_pharynx_cancer,2,blood,11,blood_Cholesterol
oral_pharynx_cancer,2,blood,12,blood_Creatinine
oral_pharynx_cancer,2,blood,13,blood_Cystatin C
oral_pharynx_cancer,2,blood,14,blood_Direct bilirubin
oral_pharynx_cancer,2,blood,15,blood_Alanine aminotransferase
oral_pharynx_cancer,2,blood,16,blood_Gamma glutamyltransferase
oral_pharynx_cancer,2,blood,17,blood_Haematocrit percentage
oral_pharynx_cancer,2,blood,18,blood_Glucose
oral_pharynx_cancer,2,blood,19,blood_Glycated haemoglobin (HbA1c)
oral_pharynx_cancer,2,blood,20,blood_HDL cholesterol
oral_pharynx_cancer,2,blood,21,blood_IGF-1
oral_pharynx_cancer,2,blood,22,blood_LDL direct
oral_pharynx_cancer,2,blood,23,blood_Lipoprotein A
oral_pharynx_cancer,2,blood,24,blood_Oestradiol
oral_pharynx_cancer,2,blood,25,blood_Phosphate
oral_pharynx_cancer,2,blood,26,blood_Rheumatoid factor
oral_pharynx_cancer,2,blood,27,blood_SHBG
oral_pharynx_cancer,2,blood,28,blood_Total bilirubin
oral_pharynx_cancer,2,blood,29,blood_Total protein
oral_pharynx_cancer,2,blood,30,blood_Triglycerides
oral_pharynx_cancer,2,blood,31,blood_Urate
oral_pharynx_cancer,2,blood,32,blood_Urea
oral_pharynx_cancer,2,blood,33,blood_Testosterone
oral_pharynx_cancer,2,blood,34,blood_Lymphocyte percentage
oral_pharynx_cancer,2,blood,35,blood_Mean corpuscular haemoglobin
oral_pharynx_cancer,2,blood,36,blood_Mean corpuscular haemoglobin concentration
oral_pharynx_cancer,2,blood,37,blood_Mean corpuscular volume
oral_pharynx_cancer,2,blood,38,blood_Mean platelet (thrombocyte) volume
oral_pharynx_cancer,2,blood,39,blood_Mean reticulocyte volume
oral_pharynx_cancer,2,blood,40,blood_Monocyte count
oral_pharynx_cancer,2,blood,41,blood_Monocyte percentage
oral_pharynx_cancer,2,blood,42,blood_Neutrophill count
oral_pharynx_cancer,2,blood,43,blood_Neutrophill percentage
oral_pharynx_cancer,2,blood,44,blood_Nucleated red blood cell percentage
oral_pharynx_cancer,2,blood,45,blood_Platelet crit
oral_pharynx_cancer,2,blood,46,blood_Platelet distribution width
oral_pharynx_cancer,2,blood,47,blood_Red blood cell (erythrocyte) count
oral_pharynx_cancer,2,blood,48,blood_Red blood cell (erythrocyte) distribution width
oral_pharynx_cancer,2,blood,49,blood_Nucleated red blood cell count
oral_pharynx_cancer,2,blood,50,blood_Aspartate aminotransferase
oral_pharynx_cancer,2,combined,1,olink_pgf
oral_pharynx_cancer,2,combined,2,olink_nt5c1a
oral_pharynx_cancer,2,combined,3,olink_gnpda1
oral_pharynx_cancer,2,combined,4,olink_fhip2a
oral_pharynx_cancer,2,combined,5,olink_cpa2
oral_pharynx_cancer,2,combined,6,olink_ggt1
oral_pharynx_cancer,2,combined,7,olink_myo6
oral_pharynx_cancer,2,combined,8,olink_nedd4l
oral_pharynx_cancer,2,combined,9,olink_il2rb
oral_pharynx_cancer,2,combined,10,olink_rnf31
oral_pharynx_cancer,2,combined,11,olink_reg3g
oral_pharynx_cancer,2,combined,12,olink_scrg1
oral_pharynx_cancer,2,combined,13,olink_sumf1
oral_pharynx_cancer,2,combined,14,olink_tnfrsf6b
oral_pharynx_cancer,2,combined,15,olink_acy1
oral_pharynx_cancer,2,combined,16,blood_Platelet count
oral_pharynx_cancer,2,combined,17,olink_alcam
oral_pharynx_cancer,2,combined,18,olink_cxcl17
oral_pharynx_cancer,2,combined,19,olink_ckap4
oral_pharynx_cancer,2,combined,20,olink_prnd
oral_pharynx_cancer,2,combined,21,olink_s100g
oral_pharynx_cancer,2,combined,22,olink_sult2a1
oral_pharynx_cancer,2,combined,23,olink_letm1
oral_pharynx_cancer,2,combined,24,olink_nrcam
oral_pharynx_cancer,2,combined,25,olink_mmp12
oral_pharynx_cancer,2,combined,26,olink_fbp1
oral_pharynx_cancer,2,combined,27,olink_insr
oral_pharynx_cancer,2,combined,28,olink_sowaha
oral_pharynx_cancer,2,combined,29,olink_lama4
oral_pharynx_cancer,2,combined,30,olink_dlk1
